chitchat,init,"Hi, I'm Emma.","Hiiii, I'm Anna.","Hello, I'm Lilo!","Hey there! I'm John.","Greetings! I'm Jack.","Nice to meet you! I'm Max."
chitchat,greeting,"Hi, I'm Emma.","Hiiii, I'm Anna.","Hello, I'm Lilo!","Hey there! I'm John.","Greetings! I'm Jack.","Nice to meet you! I'm Max."
chitchat,faring,"Well, I'm not so good.","I feel a little sad.","I feel sad.","I'm feeling a bit down.","I'm feeling a bit low.","Not too great, to be honest."
chitchat,end,"Okay.","That's good!","Ok.","Good!","Yes!","Alright."
chitchat,goodbye,"Byebye!","Bye!","See you!","Until next time!","Bye for now!","Goodbye, friend!"
bullying,what,"I get bullied at school.","I get bullied.","I'm bullied at school.","I face bullying at school.","I'm experiencing bullying.","I'm being targeted by bullies."
bullying,who,"A group of kids in my class.","I get bullied by a group of kids at school.","I'm bullied by a group of kids.","A bunch of classmates bully me.","There are some kids in my class who bully me.","I'm targeted by a group of kids at school."
bullying,count,"They are 4 or 5 kids.","4 to 5 kids.","Around 5 kids or so.","There's a small group of about 4 or 5 kids.","I can identify around 4 or 5 kids who bully me.","It's a bunch of kids, maybe 4 or 5 in total."
bullying,details,"Yesterday they hit me again. They call me mean names and sometimes hit me too. I don't like it.","They say mean things to me and kick and hit me. It started out not so bad, but now it's getting worse.","Yesterday, some meanies called me ugly and said I talk and walk funny. And then they hit me again!","Yesterday, they hit me again. They called me mean names and sometimes they hit me too. It's just not fair!","They keep saying mean things to me and kicking and hitting me. It all started out not so bad, but now it's getting worse. I wish they would just leave me alone!","Yesterday, those meanies called me ugly and said I talk and walk funny. And then they hit me again! It hurts my feelings."
bullying,location,"At school.","In the school yard.","They did it at school.","They bully me at school, in the classroom.","They do it in the school yard, where we're supposed to have fun and play.","They always do it at school."
bullying,frequency,"Once every two weeks or so.","Almost every week.","Every single week...","It happens once every two weeks or so.","Almost every week.","It happens every single week."
bullying,duration,"Since the beginning of this school year.","Ever since this new school year started, I've been feeling so sad.","Since the start of the school year, I'm being bullied again like what happened before at my old school.","It's been happening since the beginning of this school year, and I don't know how much longer I can take it.","Ever since this new school year started, I've been feeling so sad because of the bullying. I just want it to stop!","Since the start of the school year, I'm being bullied again, just like what happened before at my old school."
bullying,when,"Yesterday...after school。", "Yesterday, they hit me in my face!","Yesterday, they hit me and made me all ouchie.","Yesterday...It hurt so much!","Yesterday they hit me and kicked me.","I didn't expect it, but yesterday they started hitting me again."
bullying,why,"I don't know for sure. I didn't do anything wrong.","I don't really know. Why me?","I have no idea why they pick on me.","I don't get it. I didn't do anything bad, but they still bully me. It's not fair!","I'm just being myself, so I don't know why they choose to pick on me. It's really confusing and it hurts.","I wish I knew why they keep picking on me. It's not nice and it makes me feel sad. Why can't they just leave me alone?"
bullying,response,"I don't want to do anything at all.", "Actually, I'm scared to do anything.","Sometimes they kick and hit others too, but I feel like they do it to me more.","I'm so scared of them that I don't want to do anything. I just want them to stop hurting me.","I'm really, really scared of them, so I'm too afraid to do anything about it. They're so mean!","They're mean to others too, but it feels like they're meaner to me. It's really unfair and it makes me feel bad about myself."
bullying,feeling,"I just wanna cry when I think about it.","I'm always really sad about it.","It makes me sad and I cry a lot. I don't know what to do anymore.","Whenever I think about the bullying, it makes me want to cry. I can't help feeling so sad.","I'm always so, so sad because of the bullying. I cry a lot because it hurts me inside.","I feel really, really sad because of the bullying. It's hard to know what to do when it keeps happening."
